time_stamp,open,high,low,close,volume,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,RSI,EMA_Fast,EMA_Slow,MACD,Signal,Upper_Band,Lower_Band,log_returns,rolling_volatility,momentum,days_since_traded
2024-09-11,151.09,152.48,148.7,152.15,18991486,157.186,156.0792498608127,161.701,160.1775709101085,170.795,166.3789017004025,172.4736,166.66171663423225,158.3443,169.54169257774376,30.270599329150315,157.07844897279557,162.0012067799898,-4.922757807194216,-3.82441112152775,174.4837480790142,148.9182519209858,0.014164917802181121,0.27789126924336655,-14.22999999999999,3821
2024-09-10,151.45,152.3,149.54,150.01,20401774,158.60899999999998,156.95241649654886,162.39000000000001,161.02257837433044,171.4418,166.9596731983781,172.52669999999998,166.95488262684302,158.28365,169.7164834579221,20.22198236899912,157.97453060421296,162.78930332238897,-4.814772718176016,-3.5498244501111333,174.47140807534888,150.30859192465115,0.003138042969029433,0.2736966143971779,-17.920000000000016,3820
2024-09-09,153.63,154.64,148.2,149.54,28057746,160.401,158.49517571800416,163.087,162.18179715057576,172.11,167.65149659423028,172.5954,167.29720348799137,158.2267,169.91453856805197,17.971949154221818,159.4226270777062,163.8116475881801,-4.389020510473898,-3.2335873830949127,173.67761173268863,152.49638826731135,-0.017171502903267938,0.27830777475310975,-17.890000000000015,3819
2024-09-06,158.69,159.22,151.94,152.13,24999062,162.19,160.48521476644953,163.8795,163.51251264011006,172.85640000000004,168.39074135317844,172.66,167.65593487158716,158.1686,170.1193077998917,20.769557627045046,161.2194683645619,164.95337939523452,-3.7339110306726297,-2.944729101250166,172.36461383969268,155.39438616030733,-0.04164989072571019,0.27550588404802284,-13.360000000000014,3816
2024-09-05,157.78,161.01,157.52,158.6,14139501,163.526,162.34192915899388,164.46499999999997,164.7106718653848,173.5212,169.0544450818796,172.702,167.96959012151822,158.09265,170.30010486320717,31.3273098633082,162.8720989763004,165.97924974685327,-3.107150770552863,-2.7474336188945503,170.90633199929658,158.02366800070337,0.004993531440706324,0.2635980890965556,-9.030000000000001,3815
2024-09-04,158.07,160.4,157.44,157.81,15942997,164.429,163.17346897210365,164.5725,165.35390048279373,174.06079999999997,169.48115712603794,172.7079,168.1588747704378,157.99315,170.41769385680723,27.423248370827167,163.64884424471867,166.56958972660152,-2.9207454818828467,-2.6575043309799717,170.6639603753211,158.48103962467889,-0.0050565811554272935,0.29724108035383356,-11.150000000000006,3814
2024-09-03,163.32,163.38,157.85,158.61,26533110,165.544,164.36535096590447,164.709,166.14799527045622,174.5204,169.9575308862844,172.73769999999996,168.36794294761836,157.886,170.5444043478304,28.86335409056305,164.71045228921298,167.27035690472965,-2.559904615516672,-2.591694043254253,170.26086038320764,159.15713961679236,-0.04016355952827258,0.2978206865853016,-9.789999999999992,3813
2024-08-30,164.22,165.28,163.41,165.11,18498777,166.523,165.64431784721657,164.8105,166.94146845682005,174.9534,170.42069541225518,172.7282,168.5650731081763,157.77009999999999,170.66434811012016,45.799320014768696,165.81962543270623,167.963185457108,-2.143560024401779,-2.599641400188648,169.9519291509879,159.6690708490121,0.010410736017838727,0.28795005764301856,0.37000000000000455,3809
2024-08-29,166.06,167.63,161.98,163.4,17133830,166.48600000000002,165.76305514659805,164.975,167.13425461016953,175.2054,170.63745849030641,172.65850000000003,168.63487256490714,157.61275,170.7201707041917,37.42835351457701,165.94864823865282,168.19144029367666,-2.242792055023841,-2.713661744135365,170.36146452048223,159.58853547951776,-0.006709387779524035,0.2854830630155244,0.2300000000000182,3808
2024-08-28,166.78,167.39,163.28,164.5,15208736,166.463,166.28817851250872,165.4275,167.52733404281895,175.4664,170.9328649592985,172.5859,168.7406275662184,157.46605,170.79374025900768,40.95468492852135,166.4120388274988,168.5747555171708,-2.1627166896719814,-2.831379166413246,171.7038780226366,159.15112197736343,-0.011363758650315095,0.2889451444565385,2.469999999999999,3807
2024-08-27,167.61,168.24,166.16,166.38,13718162,166.21599999999998,166.68555151528844,165.86,167.84600078416833,175.75199999999998,171.19543087600456,172.4803,168.8262968099804,157.30200000000002,170.85699392995247,47.596995891995746,166.7596822506804,168.90073595854446,-2.141053707864046,-2.998544785598562,172.99998378509693,158.7200162149031,-0.009272897051174886,0.29022424200951263,0.44999999999998863,3806
2024-08-26,168.16,169.38,166.32,167.93,11990305,166.171,166.75345185201923,166.134,168.00031665618604,175.9918,171.39197907502515,172.33589999999995,168.87571694755576,157.13639999999998,170.90198884382133,53.83598487750991,166.82871538716776,169.102394835228,-2.27367944806025,-3.212917555032191,173.76192763667746,158.50607236332252,0.002981872438464708,0.2914679686083178,3.980000000000018,3805
2024-08-23,166.55,167.95,165.66,167.43,14281621,165.773,166.4919967080235,166.294,168.0077184094688,176.168,171.53328434339352,172.22030000000004,168.89482234043567,156.95875,170.93185807843258,52.07991138261754,166.62848182119825,169.19618642204625,-2.5677046008480033,-3.447727081775176,174.20937451511898,158.37862548488104,0.011654583437600048,0.2926795653535328,2.0400000000000205,3802
2024-08-22,169.04,169.42,165.03,165.49,19123778,165.569,166.28355153202872,166.3565,168.0685308736234,176.4106,171.7007653370014,172.1047,168.92441471094952,156.77884999999998,170.96705263198467,45.05109914919038,166.4827512432343,169.33748133580994,-2.854730092575636,-3.6677327020069685,174.32917511262286,158.38382488737716,-0.012848399612334518,0.289090451519583,1.6500000000000057,3801
2024-08-21,166.99,168.64,166.57,167.63,15269550,165.404,166.45989631692402,166.54000000000002,168.33995517611007,176.66459999999998,171.95426596300146,172.0148,168.99379682632224,156.60325,171.02209838707998,52.39876734863553,166.6632514692769,169.64527984267474,-2.9820283733978385,-3.8709833543648013,174.59719293086098,158.48280706913906,-0.007902830874710238,0.2964560315522074,6.8799999999999955,3800
2024-08-20,168.74,170.41,168.66,168.96,12622523,164.716,166.19987327624048,166.877,168.41468729991112,176.8446,172.13076661455253,171.86109999999996,169.02134827735907,156.408,171.05618982815616,57.445242934098445,166.48747900914543,169.8065022300887,-3.3190232209432793,-4.093222099606542,175.65750016731772,158.0964998326823,0.0033198987096702223,0.29995358856789595,8.420000000000016,3799
2024-08-19,167.0,168.47,166.09,168.4,13100762,163.874,165.5865117820717,167.60899999999998,168.35728596305967,176.9844,172.26018566004447,171.6909,169.02258763649763,156.20105,171.07725706261,55.89520845407632,166.03792973808095,169.8742224084958,-3.8362926704148492,-4.2867718192723565,179.13302506568627,156.0849749343137,0.0219736282951237,0.299380073702045,7.760000000000019,3798
2024-08-16,163.41,166.95,163.08,164.74,16853137,163.09799999999998,164.96129217808766,168.3565,168.35278974864488,177.1834,172.41774425841362,171.52390000000003,169.0351651645077,155.98555,171.10416416876686,44.43010522067349,165.60846241773203,169.99216020117547,-4.383697783443438,-4.399391606486733,181.8651191210151,154.8478808789849,0.009575871410123801,0.28909646088790864,-3.6599999999999966,3795
2024-08-15,162.21,163.52,161.49,163.17,18392452,163.464,165.0104682176627,169.089,168.73308340639696,177.43,172.73112157508356,171.388,169.1219361779321,155.7906,171.1681256176992,38.48523731776435,165.76636467550148,170.4123330172695,-4.645968341768025,-4.403315062247557,183.34028751445976,154.83771248554024,0.007011098830069614,0.29841254165274417,-9.280000000000001,3794
